// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    760000	      6254	      6021
     10000	    760000	      6343	      4842
    100000	    760000	      7463	      3967
        10	    770000	      6259	      5739
       100	    770000	      6249	      5700
      1000	    770000	      6183	      5674
     10000	    770000	      6430	      5268
    100000	    770000	      7561	      4029
        10	    780000	      6109	      5561
       100	    780000	      6452	      5592
      1000	    780000	      6575	      5808
     10000	    780000	      6273	      5281
    100000	    780000	      7453	      4356
        10	    790000	      6558	      5916
       100	    790000	      6208	      5877
      1000	    790000	      6579	      5759
     10000	    790000	      6667	      5692
    100000	    790000	      8091	      6239
        10	    800000	      6925	      5909
       100	    800000	      6418	      6124
      1000	    800000	      7042	      5819
     10000	    800000	      6603	      5652
    100000	    800000	      8095	      3826
        10	    810000	      6785	      6987
       100	    810000	      6349	      6582
      1000	    810000	      6817	      6325
     10000	    810000	      8167	      6023
    100000	    810000	     12292	      4412
        10	    820000	      7786	      7705
       100	    820000	      7488	      7743
      1000	    820000	      7752	      7319
     10000	    820000	     11848	      6087
    100000	    820000	     14701	      4500
        10	    830000	      9991	      7465
       100	    830000	     12979	      6303
      1000	    830000	     10516	      7258
     10000	    830000	      9296	      6709
    100000	    830000	      8387	      4963
        10	    840000	      9502	      6500
       100	    840000	      7103	      7228
      1000	    840000	      7387	      6714
     10000	    840000	      8408	      7047
    100000	    840000	      8872	      5024
        10	    850000	      8763	      6607
       100	    850000	      7704	      6754
      1000	    850000	      7183	      6488
     10000	    850000	      7337	      6225
    100000	    850000	      8717	      4593
        10	    860000	     10745	      6696
       100	    860000	      7077	      6589
      1000	    860000	      7379	      6672
     10000	    860000	     10674	      6376
    100000	    860000	      8673	      4895
        10	    870000	      8506	      6748
       100	    870000	      7513	      6748
      1000	    870000	      8846	     11788
     10000	    870000	      9236	      8759
    100000	    870000	      9916	      5522
        10	    880000	      8569	      8808
       100	    880000	      7365	      6863
      1000	    880000	      7281	      7087
     10000	    880000	      7036	      6230
    100000	    880000	      9077	      6847
        10	    890000	      9125	      6761
